pka_H,pka_B,delta_G_B,dipole_H,homo_H,lumo_H,electronegativity_H,dipole_B,homo_B,lumo_B,electronegativity_B,Mulliken_charge_C_H,APT_charge_C_H,NPA_charge_C_H,Mulliken_charge_H_H,APT_charge_H_H,NPA_charge_H_H,NICS0,NICS1,Mulliken_charge_alpha_1,Mulliken_charge_alpha_2,yield
39.9,36.3,6.2,2.3004,-0.25884,0.0768,0.09102,1.3174,-0.28448,0.03041,0.127335,0.04648,0.038035,-0.04117,0.024915,0.074964,0.21645,12.9036,9.4125,-0.06942,-0.283532,68
40.8,36.3,6.2,1.1619,-0.27457,0.01369,0.13044,1.3174,-0.28448,0.03041,0.127335,-0.029516,-0.154607,-0.26422,0.020362,0.070051,0.24318,8.5974,9.4722,-0.02357,0.174482,77
37.7,36.3,6.2,2.5042,-0.25226,0.02648,0.11289,1.3174,-0.28448,0.03041,0.127335,-0.038596,-0.059987,-0.24982,0.019606,0.063744,0.2418,9.881,9.7809,-0.038596,0.22818,96
37.6,36.3,6.2,1.3781,-0.26485,0.0359,0.114475,1.3174,-0.28448,0.03041,0.127335,-0.134144,-0.313679,-0.36945,0.002872,0.079456,0.24517,9.4842,9.3368,0.214293,0.220036,21
42.4,36.3,6.2,1.3906,-0.27412,0.02796,0.12308,1.3174,-0.28448,0.03041,0.127335,-0.037897,-0.16254,-0.26922,0.017401,0.062657,0.23997,8.9292,9.8686,-0.021444,0.212692,58
36.6,36.3,6.2,2.3937,-0.27411,0.01497,0.12957,1.3174,-0.28448,0.03041,0.127335,-0.084098,-0.045702,-0.28129,0.030256,0.070664,0.24401,10.5892,10,-0.107754,0.293548,91
31.7,33.1,9.5,0.5373,-0.26948,0.00104,0.13422,1.0675,-0.29832,0.06388,0.11722,-0.100234,0.011212,-0.3718,0.066338,0.09424,0.25198,10.3944,8.7049,0.010102,0.104016,90
30,33.1,9.5,1.766,-0.27717,-0.01113,0.14415,1.0675,-0.29832,0.06388,0.11722,-0.096949,0.012492,-0.36696,0.070699,0.098302,0.25447,10.4957,8.7845,0.012909,0.11616,77
34.8,33.1,9.5,0.5339,-0.27921,0.02594,0.126635,1.0675,-0.29832,0.06388,0.11722,-0.117187,-0.05534,-0.4101,0.062571,0.088791,0.24942,11.2568,8.9381,-0.009905,0.093399,68
37,33.1,9.5,0.5432,-0.27035,0.05801,0.10617,1.0675,-0.29832,0.06388,0.11722,0.120057,0.126615,0.12596,0.03651,0.086037,0.21011,10.8894,8.5649,-0.0566,-0.264828,56
31.5,33.1,9.5,1.3608,-0.27034,-0.02098,0.14566,1.0675,-0.29832,0.06388,0.11722,-0.101654,-0.092836,-0.39903,0.065384,0.097189,0.25183,10.0464,8.2765,0.002318,0.101712,47
30.5,33.1,9.5,0.8074,-0.26062,-0.01336,0.13699,1.0675,-0.29832,0.06388,0.11722,-0.110642,-0.109148,-0.40705,0.067078,0.097536,0.25272,11.23015,8.62295,-0.006705,0.123126,78
32.5,33.1,9.5,2.1567,-0.26931,0.02806,0.120625,1.0675,-0.29832,0.06388,0.11722,-0.180917,-0.107449,-0.45265,0.056577,0.115543,0.26017,15.1804,9.1721,0.179467,0.089788,35
31.7,36.3,6.2,0.5373,-0.26948,0.00104,0.13422,1.3174,-0.28448,0.03041,0.127335,-0.100234,0.011212,-0.3718,0.066338,0.09424,0.25198,10.3944,8.7049,0.010102,0.104016,2
30,36.3,6.2,1.766,-0.27717,-0.01113,0.14415,1.3174,-0.28448,0.03041,0.127335,-0.096949,0.012492,-0.36696,0.070699,0.098302,0.25447,10.4957,8.7845,0.012909,0.11616,1
34.8,36.3,6.2,0.5339,-0.27921,0.02594,0.126635,1.3174,-0.28448,0.03041,0.127335,-0.117187,-0.05534,-0.4101,0.062571,0.088791,0.24942,11.2568,8.9381,-0.009905,0.093399,2
37,36.3,6.2,0.5432,-0.27035,0.05801,0.10617,1.3174,-0.28448,0.03041,0.127335,0.120057,0.126615,0.12596,0.03651,0.086037,0.21011,10.8894,8.5649,-0.0566,-0.264828,1
31.5,36.3,6.2,1.3608,-0.27034,-0.02098,0.14566,1.3174,-0.28448,0.03041,0.127335,-0.101654,-0.092836,-0.39903,0.065384,0.097189,0.25183,10.0464,8.2765,0.002318,0.101712,2
30.5,36.3,6.2,0.8074,-0.26062,-0.01336,0.13699,1.3174,-0.28448,0.03041,0.127335,-0.110642,-0.109148,-0.40705,0.067078,0.097536,0.25272,11.23015,8.62295,-0.006705,0.123126,3
