sub_H,sub_B,pka_H,dipole_H,homo_H,lumo_H,electronegativity_H,Mulliken_charge_C_H,APT_charge_C_H,NPA_charge_C_H,Mulliken_charge_H_H,APT_charge_H_H,NPA_charge_H_H,NICS0,NICS1,pka_B,delta_G_B,delta_G_B_TS,dipole_B,homo_B,lumo_B,electronegativity_B,yield
S15,1d,36.1,4.1154,-0.25721,0.01064,0.123285,0.088735,0.182114,0.0169,0.035156,0.079034,0.22252,-12.4108,-9.9317,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,21
S16,1c,35.6,4.3262,-0.25923,0.00866,0.125285,0.088772,0.165659,0.01597,0.036282,0.078905,0.22325,-12.5005,-10.0494,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,76
S16,1d,35.6,4.3262,-0.25923,0.00866,0.125285,0.088772,0.165659,0.01597,0.036282,0.078905,0.22325,-12.5005,-10.0494,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,34
S17,1c,34.4,5.9925,-0.26748,0.00407,0.131705,0.088785,0.154993,0.01489,0.038429,0.08128,0.22454,-12.526,-10.2123,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,70
S17,1d,34.4,5.9925,-0.26748,0.00407,0.131705,0.088785,0.154993,0.01489,0.038429,0.08128,0.22454,-12.526,-10.2123,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,42
S18,1c,35.7,1.5968,-0.26571,0.00528,0.130215,0.095371,0.151634,0.01651,0.033013,0.081428,0.22426,-12.8165,-10.3688,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,64
S18,1d,35.7,1.5968,-0.26571,0.00528,0.130215,0.095371,0.151634,0.01651,0.033013,0.081428,0.22426,-12.8165,-10.3688,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,9
S19,1c,39.4,0.7605,-0.26519,-0.01337,0.13928,-0.02554,-0.046904,-0.22942,0.014971,0.05512,0.23915,-8.7238,-10.1366,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,89
S19,1d,39.4,0.7605,-0.26519,-0.01337,0.13928,-0.02554,-0.046904,-0.22942,0.014971,0.05512,0.23915,-8.7238,-10.1366,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,4
S20,1c,37.6,0.7267,-0.27648,-0.013,0.14474,-0.062728,-0.041946,-0.26692,0.020025,0.069223,0.24568,-9.8171,-10.5084,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,61
S20,1d,37.6,0.7267,-0.27648,-0.013,0.14474,-0.062728,-0.041946,-0.26692,0.020025,0.069223,0.24568,-9.8171,-10.5084,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,4
S22,1c,39.9,2.3004,-0.25884,0.0768,0.09102,0.04648,0.038035,-0.04117,0.024915,0.074964,0.21645,-12.9036,-9.4125,36.3,6.2,17.4,1.3174,-0.28448,0.03041,0.127335,68
S22,1d,39.9,2.3004,-0.25884,0.0768,0.09102,0.04648,0.038035,-0.04117,0.024915,0.074964,0.21645,-12.9036,-9.4125,33.1,9.5,19.5,1.0675,-0.29832,0.06388,0.11722,4
